"accresco (or adcresco) accrescere accrevi accretum"	"accresco (or adcresco) accrescere accrēvī accrētum"	"to grow, increase"	"to grow, increase; to be joined to; to fall to one"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accresco"	"8014"
"accubo accubare accubui accubitus"	"accubō accubāre accubuī accubitus"	"to lie near or by"	"to lie near or by, to recline; bend over, project (> ad and cumbo)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accubo"	"4251"
"accumbo –cumbere –cubui –cubitum"	"accumbō –cumbere –cubuī –cubitum"	"to lie down"	"to lie down; recline at dinner"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accumbo"	"4251"
"accumulo accumulare accumulavi accumulatus"	"accumulō accumulāre accumulāvī accumulātus"	"to place heap on heap"	"to place heap on heap; heap up, load; honor (> ad and cumulo)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accumulo"	"6575"
"accuratus –a –um"	"accūrātus –a –um"	"carefully wrought, elaborate"	"carefully wrought, elaborate, finished, exact"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#accuratus"	"8014"
"accuro –curare"	"accūrō –cūrāre"	"to give close attention to, be careful"	"to give close attention to, be careful"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accuro"	"8014"
"accurro –ere –curri or –cucurri –cursus"	"accurrō –ere –currī or –cucurrī –cursus"	"to run to"	"to run to; run, hasten up (> ad and curro)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accurro"	"2780"
"accusatio accusationis f."	"accūsātiō accūsātiōnis f."	"accusation"	"a formal complaint, indictment, accusation, prosection"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#accusatio"	"3211"
"accusator –oris m."	"accūsātor –ōris m."	"the accuser"	"the accuser, prosecutor, plaintiff"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#accusator"	"2288"
"accuso accusare accusavi accusatus"	"accūsō accūsāre accūsāvī accūsātus"	"to accuse"	"to accuse, blame, find fault, impugn; reprimand; charge (w/crime/offense)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#accuso"	"1237"
"aceo –acere –acui —"	"aceō –acēre –acuī —"	"to be sour"	"to be sour, be disagreeable"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#aceo"	"15105"
"acer aceris n."	"acer aceris n."	"maple tree"	"maple tree"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acer"	"8014"
"acer acris acre"	"ācer ācris ācre"	"sharp, piercing"	"sharp, keen; fierce"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#acer"	"395"
"acerbitas –atis f."	"acerbitās –ātis f."	"bitterness, harshness, sourness"	"bitterness, harshness, sourness"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acerbitas"	"4957"
"acerbo acerbare ––– acerbatus"	"acerbō acerbāre ––– acerbātus"	"to embitter"	"to embitter; to aggravate, augment (> acerbus)"	"1"	"1"	"Verb"	"Logeion"	"http://logeion.uchicago.edu/index.html#acerbo"	"11140"
"acerbus –a –um"	"acerbus –a –um"	"bitter"	"bitter; harsh"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#acerbus"	"1429"
"acernus –a –um"	"acernus –a –um"	"of maple"	"of maple; maple (> acer, maple)"	"1"	"1"	"Adjective"	"Logeion"	"http://logeion.uchicago.edu/index.html#acernus"	"8014"
"acerra –ae f."	"acerra –ae f."	"an incense box"	"an incense box; a censer"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acerra"	"9174"
"acervus –i m."	"acervus –ī m."	"heap, pile"	"heap, pile"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acervus"	"2718"
"acetabulum –i n."	"acētābulum –ī n."	"a vessel for liquid (esp. vinegar)"	"a vessel for liquid (esp. vinegar)"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acetabulum"	"11140"
"acetum –i n."	"acētum –ī n."	"vinegar"	"vinegar; sharpness of wit"	"1"	"1"	"Noun"	"Logeion"	"http://logeion.uchicago.edu/index.html#acetum"	"6575"
